text,intent,entities,label
show me flights arriving in baltimore from pittsburgh between 4 and 5 pm,flight,toloc.city_name=baltimore;fromloc.city_name=pittsburgh;arrive_time.start_time=4;arrive_time.end_time=5 pm,11
show me all the cheapest fares from new york to miami leaving on tuesday,airfare,cost_relative=cheapest;fromloc.city_name=new york;toloc.city_name=miami;depart_date.day_name=tuesday,3
show me the fares from dallas to san francisco,airfare,fromloc.city_name=dallas;toloc.city_name=san francisco,3
i need ground transportation in seattle,ground_service,city_name=seattle,17
what is the name of the airport at denver,airport,city_name=denver,7
show me one way flights from milwaukee to orlando,flight,round_trip=one way;fromloc.city_name=milwaukee;toloc.city_name=orlando,11
what time does the earliest flight which goes from atlanta to denver leave,flight_time,flight_time=time;flight_mod=earliest;fromloc.city_name=atlanta;toloc.city_name=denver,15
show me flights from boston to san francisco arriving before 1 pm,flight,fromloc.city_name=boston;toloc.city_name=san francisco;arrive_time.time_relative=before;arrive_time.time=1 pm,11
i would like information on flights from denver to san francisco after noon on wednesday,flight,fromloc.city_name=denver;toloc.city_name=san francisco;depart_time.time_relative=after;depart_time.time=noon;depart_date.day_name=wednesday,11
show me the flights from philadelphia to baltimore,flight,fromloc.city_name=philadelphia;toloc.city_name=baltimore,11
how many first class flights does united have today,quantity,class_type=first class;airline_name=united;depart_date.today_relative=today,20
what afternoon flights are available from denver to san francisco on wednesdays,flight,depart_time.period_of_day=afternoon;fromloc.city_name=denver;toloc.city_name=san francisco;depart_date.day_name=wednesdays,11
hi i want a round trip ticket to dallas,airfare,round_trip=round trip;toloc.city_name=dallas,3
what is the most expensive flight from boston to dallas,flight,cost_relative=most expensive;fromloc.city_name=boston;toloc.city_name=dallas,11
do any of the continental flights from boston to san francisco stop in denver,flight,airline_name=continental;fromloc.city_name=boston;toloc.city_name=san francisco;stoploc.city_name=denver,11
what ground transportation is available from pittsburgh to downtown,ground_service,fromloc.city_name=pittsburgh,17
what kind of aircraft will i be flying on if i take a first class american airlines flight from philadelphia to dallas,aircraft,class_type=first class;airline_name=american airlines;fromloc.city_name=philadelphia;toloc.city_name=dallas,1
show me the flights from boston to oakland,flight,fromloc.city_name=boston;toloc.city_name=oakland,11
which airlines fly between baltimore and san francisco,airline,fromloc.city_name=baltimore;toloc.city_name=san francisco,5
please show me the return flights from miami to new york,flight,round_trip=return;fromloc.city_name=miami;toloc.city_name=new york,11
what ground transportation is there in atlanta,ground_service,city_name=atlanta,17
what is the ground transportation available in fort worth texas,ground_service,city_name=fort worth;state_name=texas,17
which flights are between boston and baltimore washington,flight,fromloc.city_name=boston;toloc.city_name=baltimore;toloc.city_name=washington,11
i 'd like to go from boston to denver at 9 o'clock saturday night,flight,fromloc.city_name=boston;toloc.city_name=denver;depart_time.time=9 o'clock;depart_date.day_name=saturday;depart_time.period_of_day=night,11
what is restriction ap57,restriction,restriction_code=ap57,21
i 'd like to see all the flights from boston to philadelphia,flight,fromloc.city_name=boston;toloc.city_name=philadelphia,11
do you have a flight on wednesday from denver to washington dc nonstop,flight,depart_date.day_name=wednesday;fromloc.city_name=denver;toloc.city_name=washington;toloc.state_code=dc;flight_stop=nonstop,11
find travel arrangements for a round trip flight from baltimore to pittsburgh,flight,round_trip=round trip;fromloc.city_name=baltimore;toloc.city_name=pittsburgh,11
show flights from san francisco to denver on either wednesday the twenty third or thursday the twenty fourth,flight,fromloc.city_name=san francisco;toloc.city_name=denver;depart_date.day_name=wednesday;depart_date.day_number=twenty third;or=or;depart_date.day_name=thursday;depart_date.day_number=twenty fourth,11
what types of aircraft does delta fly,aircraft,airline_name=delta,1
what continental flights go from chicago to seattle before 10 am in the morning that have a meal,flight,airline_name=continental;fromloc.city_name=chicago;toloc.city_name=seattle;depart_time.time_relative=before;depart_time.time=10 am;depart_time.period_of_day=morning;meal=meal,11
show me nonstop flights from miami to new york with coach class fares,flight,flight_stop=nonstop;fromloc.city_name=miami;toloc.city_name=new york;class_type=coach class,11
thank you very much now can you help me with information on flights from boston to atlanta,flight,fromloc.city_name=boston;toloc.city_name=atlanta,11
give me the latest northwest airlines flight from milwaukee to tacoma tomorrow,flight,flight_mod=latest;airline_name=northwest airlines;fromloc.city_name=milwaukee;toloc.city_name=tacoma;depart_date.today_relative=tomorrow,11
please repeat the flight departures for monday august nineteenth from denver to pittsburgh,flight,depart_date.day_name=monday;depart_date.month_name=august;depart_date.day_number=nineteenth;fromloc.city_name=denver;toloc.city_name=pittsburgh,11
what flights leave washington dc and arrive in san francisco on wednesday,flight,fromloc.city_name=washington;fromloc.state_code=dc;toloc.city_name=san francisco;arrive_date.day_name=wednesday,11
okay i need to get a flight from houston to seattle,flight,fromloc.city_name=houston;toloc.city_name=seattle,11
what is the cost of a first class ticket from baltimore to dallas,airfare,class_type=first class;fromloc.city_name=baltimore;toloc.city_name=dallas,3
all flights from washington to san francisco leaving after 2,flight,fromloc.city_name=washington;toloc.city_name=san francisco;depart_time.time_relative=after;depart_time.time=2,11
i would like to know the flights that are available leaving out of pittsburgh to san francisco on thursday night after 9 pm,flight,fromloc.city_name=pittsburgh;toloc.city_name=san francisco;depart_date.day_name=thursday;depart_time.period_of_day=night;depart_time.time_relative=after;depart_time.time=9 pm,11
show me all flights from indianapolis to montreal,flight,fromloc.city_name=indianapolis;toloc.city_name=montreal,11
what are all the flights into atlanta 's airport,flight,toloc.city_name=atlanta 's,11
i need a flight from philadelphia to dallas,flight,fromloc.city_name=philadelphia;toloc.city_name=dallas,11
show me all flights from san francisco to boston philadelphia or baltimore,flight,fromloc.city_name=san francisco;toloc.city_name=boston;toloc.city_name=philadelphia;toloc.city_name=baltimore,11
show me the continental flights with meals which depart seattle on sunday for chicago,flight,airline_name=continental;meal=meals;fromloc.city_name=seattle;depart_date.day_name=sunday;toloc.city_name=chicago,11
what are the cost of morning flights from atlanta to baltimore,airfare,depart_time.period_of_day=morning;fromloc.city_name=atlanta;toloc.city_name=baltimore,3
show me the latest flight from salt lake city to phoenix,flight,flight_mod=latest;fromloc.city_name=salt lake city;toloc.city_name=phoenix,11
show me the cheapest flights from san francisco to philadelphia,flight,cost_relative=cheapest;fromloc.city_name=san francisco;toloc.city_name=philadelphia,11
i 'd like to book a flight from atlanta to denver,flight,fromloc.city_name=atlanta;toloc.city_name=denver,11
i would like information on flights from san francisco to pittsburgh leaving after 8 pm monday night,flight,fromloc.city_name=san francisco;toloc.city_name=pittsburgh;depart_time.time_relative=after;depart_time.time=8 pm;depart_date.day_name=monday;depart_time.period_of_day=night,11
how do i get from boston to pittsburgh,flight,fromloc.city_name=boston;toloc.city_name=pittsburgh,11
are there any flights from new york to los angeles which stop over in milwaukee,flight,fromloc.city_name=new york;toloc.city_name=los angeles;stoploc.city_name=milwaukee,11
anything from baltimore or washington with a stopover in denver going to san francisco,flight,fromloc.city_name=baltimore;or=or;fromloc.city_name=washington;stoploc.city_name=denver;toloc.city_name=san francisco,11
what is the earliest flight going from san francisco to dallas on monday august nineteenth,flight,flight_mod=earliest;fromloc.city_name=san francisco;toloc.city_name=dallas;depart_date.day_name=monday;depart_date.month_name=august;depart_date.day_number=nineteenth,11
how many first class flights does united have leaving from all airports today,quantity,class_type=first class;airline_name=united;depart_date.today_relative=today,20
i would like the least expensive airfare flight on sunday to pittsburgh from san francisco,airfare,cost_relative=least expensive;depart_date.day_name=sunday;toloc.city_name=pittsburgh;fromloc.city_name=san francisco,3
give me the continental flights from chicago to seattle on friday,flight,airline_name=continental;fromloc.city_name=chicago;toloc.city_name=seattle;depart_date.day_name=friday,11
what are the coach fares for flights from charlotte to newark tuesday evening,airfare,class_type=coach;fromloc.city_name=charlotte;toloc.city_name=newark;depart_date.day_name=tuesday;depart_time.period_of_day=evening,3
okay can you tell me the flight cost between denver and atlanta,flight,fromloc.city_name=denver;toloc.city_name=atlanta,11
flights between new york and miami,flight,fromloc.city_name=new york;toloc.city_name=miami,11
how much does flight dl 402 from denver to philadelphia cost,airfare,airline_code=dl;flight_number=402;fromloc.city_name=denver;toloc.city_name=philadelphia,3
please show me the flights available from san francisco to pittsburgh on tuesday,flight,fromloc.city_name=san francisco;toloc.city_name=pittsburgh;depart_date.day_name=tuesday,11
show me the schedule for airlines leaving pittsburgh going to san francisco for next monday,flight_time,flight_time=schedule;fromloc.city_name=pittsburgh;toloc.city_name=san francisco;depart_date.date_relative=next;depart_date.day_name=monday,15
what flights does american airlines fly from philadelphia to dallas,flight,airline_name=american airlines;fromloc.city_name=philadelphia;toloc.city_name=dallas,11
what are the prices of the flights from dallas to baltimore,airfare,fromloc.city_name=dallas;toloc.city_name=baltimore,3
is there a nonstop flight from denver to san francisco,flight,flight_stop=nonstop;fromloc.city_name=denver;toloc.city_name=san francisco,11
find the flights from boston to san francisco leaving after 6 pm,flight,fromloc.city_name=boston;toloc.city_name=san francisco;depart_time.time_relative=after;depart_time.time=6 pm,11
is bwi washington,city,airport_code=bwi;city_name=washington,9
show business class fares on us air from boston to toronto,airfare,class_type=business class;airline_name=us air;fromloc.city_name=boston;toloc.city_name=toronto,3
show me all the flights from cincinnati to toronto,flight,fromloc.city_name=cincinnati;toloc.city_name=toronto,11
i would like to schedule a flight on american airlines from philadelphia to san francisco that makes a stop in denver,flight,airline_name=american airlines;fromloc.city_name=philadelphia;toloc.city_name=san francisco;stoploc.city_name=denver,11
i would like a us air flight from toronto to san diego with a stopover in denver please,flight,airline_name=us air;fromloc.city_name=toronto;toloc.city_name=san diego;stoploc.city_name=denver,11
what flights from los angeles to minneapolis,flight,fromloc.city_name=los angeles;toloc.city_name=minneapolis,11
how do i get to philadelphia downtown from the airport,ground_service,toloc.city_name=philadelphia,17
where does flight ua 281 from boston to oakland stop,flight,airline_code=ua;flight_number=281;fromloc.city_name=boston;toloc.city_name=oakland;flight_stop=stop,11
what flights leave after 7 pm from boston to pittsburgh,flight,depart_time.time_relative=after;depart_time.time=7 pm;fromloc.city_name=boston;toloc.city_name=pittsburgh,11
show flights between boston and philadelphia,flight,fromloc.city_name=boston;toloc.city_name=philadelphia,11
which airlines have flights from denver to pittsburgh,airline,fromloc.city_name=denver;toloc.city_name=pittsburgh,5
july seventh what is the cost of a round trip ticket traveling first class on united airlines leaving from denver going to baltimore,airfare,depart_date.month_name=july;depart_date.day_number=seventh;round_trip=round trip;class_type=first class;airline_name=united airlines;fromloc.city_name=denver;toloc.city_name=baltimore,3
what is the fare code y and what is the fare code h,abbreviation,fare_basis_code=y;fare_basis_code=h,0
find travel arrangements for a round trip flight from baltimore to pittsburgh,flight,round_trip=round trip;fromloc.city_name=baltimore;toloc.city_name=pittsburgh,11
now i 'd like to see flights from detroit to st. petersburg on the next tuesday,flight,fromloc.city_name=detroit;toloc.city_name=st. petersburg;depart_date.date_relative=next;depart_date.day_name=tuesday,11
what is the cheapest one way fare from boston to washington,airfare,cost_relative=cheapest;round_trip=one way;fromloc.city_name=boston;toloc.city_name=washington,3
instead of denver can i have the same flight from toronto to san diego but stopping in dallas fort worth,flight,mod=instead;fromloc.city_name=denver;fromloc.city_name=toronto;toloc.city_name=san diego;stoploc.city_name=dallas fort worth,11
airports in new york,airport,city_name=new york,7
are there any flights from atlanta to baltimore,flight,fromloc.city_name=atlanta;toloc.city_name=baltimore,11
all flights from sfo to long beach,flight,fromloc.airport_code=sfo;toloc.city_name=long beach,11
show me the most expensive one way flight from detroit to westchester county,flight,cost_relative=most expensive;round_trip=one way;fromloc.city_name=detroit;toloc.city_name=westchester county,11
what flights go from san francisco to denver on mondays,flight,fromloc.city_name=san francisco;toloc.city_name=denver;depart_date.day_name=mondays,11
show me all flights and fares from dallas to san francisco,flight+airfare,fromloc.city_name=dallas;toloc.city_name=san francisco,12
thanks and what 's the last flight back from washington to boston,flight,flight_mod=last;fromloc.city_name=washington;toloc.city_name=boston,11
show me the flights from pittsburgh to philadelphia,flight,fromloc.city_name=pittsburgh;toloc.city_name=philadelphia,11
find travel arrangements for a round trip flight from dallas to pittsburgh,flight,round_trip=round trip;fromloc.city_name=dallas;toloc.city_name=pittsburgh,11
what time does twa depart from boston to go to san francisco,flight_time,flight_time=time;airline_code=twa;fromloc.city_name=boston;toloc.city_name=san francisco,15
i need to go to san diego from toronto but i want to stopover in denver,flight,toloc.city_name=san diego;fromloc.city_name=toronto;stoploc.city_name=denver,11
how many flights does american airlines have from boston to atlanta,quantity,airline_name=american airlines;fromloc.city_name=boston;toloc.city_name=atlanta,20
explain the fare codes,abbreviation,,0
show me flights between memphis and las vegas on sunday,flight,fromloc.city_name=memphis;toloc.city_name=las vegas;depart_date.day_name=sunday,11
now i want to see return flights from miami to new york,flight,round_trip=return;fromloc.city_name=miami;toloc.city_name=new york,11
show me the ground transportation in denver,ground_service,city_name=denver,17
what does fare code qx mean,abbreviation,fare_basis_code=qx,0
i would like information on flights from philadelphia to oakland california on friday afternoon,flight,fromloc.city_name=philadelphia;toloc.city_name=oakland;toloc.state_name=california;depart_date.day_name=friday;depart_time.period_of_day=afternoon,11
show me the flights from boston to atlanta and the return flights from atlanta to boston,flight,fromloc.city_name=boston;toloc.city_name=atlanta;fromloc.city_name=atlanta;toloc.city_name=boston,11
what ground transportation is available in san francisco,ground_service,city_name=san francisco,17
show me the flights from dallas to atlanta,flight,fromloc.city_name=dallas;toloc.city_name=atlanta,11
show me the nonstop flights from dallas to houston,flight,flight_stop=nonstop;fromloc.city_name=dallas;toloc.city_name=houston,11
give me a list of airports in baltimore,airport,city_name=baltimore,7
what airline is dl 98,airline,airline_code=dl;flight_number=98,5
show me the flights from toronto to cincinnati,flight,fromloc.city_name=toronto;toloc.city_name=cincinnati,11
what kind of ground transportation is there in washington dc,ground_service,city_name=washington;state_code=dc,17
show me the flights next tuesday between philadelphia and san francisco,flight,depart_date.date_relative=next;depart_date.day_name=tuesday;fromloc.city_name=philadelphia;toloc.city_name=san francisco,11
give me the round trip coach fare from dallas to baltimore,airfare,round_trip=round trip;class_type=coach;fromloc.city_name=dallas;toloc.city_name=baltimore,3
what is the cost of a flight from boston to denver,airfare,fromloc.city_name=boston;toloc.city_name=denver,3
oakland to philadelphia,flight,fromloc.city_name=oakland;toloc.city_name=philadelphia,11
what are the lowest one way fares from atlanta to pittsburgh,airfare,cost_relative=lowest;round_trip=one way;fromloc.city_name=atlanta;toloc.city_name=pittsburgh,3
what flights are there from new york city to las vegas,flight,fromloc.city_name=new york city;toloc.city_name=las vegas,11
please give me the cheapest round trip airfare from atlanta to philadelphia on august the first,airfare,cost_relative=cheapest;round_trip=round trip;fromloc.city_name=atlanta;toloc.city_name=philadelphia;depart_date.month_name=august;depart_date.day_number=first,3
what are the flights available after 6 pm between san francisco and boston,flight,depart_time.time_relative=after;depart_time.time=6 pm;fromloc.city_name=san francisco;toloc.city_name=boston,11
what time are flights from denver to san francisco on continental airlines,flight_time,flight_time=time;fromloc.city_name=denver;toloc.city_name=san francisco;airline_name=continental airlines,15
show me flights to philadelphia coming from baltimore or denver or pittsburgh,flight,toloc.city_name=philadelphia;fromloc.city_name=baltimore;or=or;fromloc.city_name=denver;or=or;fromloc.city_name=pittsburgh,11
show me the flights from denver to atlanta on friday,flight,fromloc.city_name=denver;toloc.city_name=atlanta;depart_date.day_name=friday,11
i wish to fly from boston to washington please find an airline for me,flight,fromloc.city_name=boston;toloc.city_name=washington,11
what delta leaves boston for atlanta,flight,airline_name=delta;fromloc.city_name=boston;toloc.city_name=atlanta,11
i want to leave philadelphia and arrive in atlanta on a thursday,flight,fromloc.city_name=philadelphia;toloc.city_name=atlanta;arrive_date.day_name=thursday,11
what delta flights fly from washington to dallas in the morning,flight,airline_name=delta;fromloc.city_name=washington;toloc.city_name=dallas;depart_time.period_of_day=morning,11
before 10 o'clock on tuesday is there a 747 that flies from baltimore to san francisco,flight,depart_time.time_relative=before;depart_time.time=10 o'clock;depart_date.day_name=tuesday;aircraft_code=747;fromloc.city_name=baltimore;toloc.city_name=san francisco,11
which cities are serviced by both american and delta airlines,city,airline_name=american;airline_name=delta airlines,9
i will be staying downtown in atlanta for two hours could you tell me what the ground transportation is available,ground_service,city_name=atlanta,17
what are all flights from san francisco to philadelphia with stops in pittsburgh,flight,fromloc.city_name=san francisco;toloc.city_name=philadelphia;stoploc.city_name=pittsburgh,11
what flights are available friday afternoon from atlanta to dallas,flight,depart_date.day_name=friday;depart_time.period_of_day=afternoon;fromloc.city_name=atlanta;toloc.city_name=dallas,11
how many flights does each airline have with first class service,quantity,class_type=first class,20
show me the one way flight from detroit to westchester county with the highest fare,flight,round_trip=one way;fromloc.city_name=detroit;toloc.city_name=westchester county;cost_relative=highest,11
flights from cincinnati to los angeles departing after 718 am,flight,fromloc.city_name=cincinnati;toloc.city_name=los angeles;depart_time.time_relative=after;depart_time.time=718 am,11
ground transportation dallas,ground_service,city_name=dallas,17
i 'm looking for a flight from pittsburgh to san francisco,flight,fromloc.city_name=pittsburgh;toloc.city_name=san francisco,11
what aircraft has the largest seating capacity,aircraft,mod=largest,1
please show me all airports in denver,airport,city_name=denver,7
i would like a flight between denver and san francisco leaving from denver in the afternoon and arriving at 5 pm,flight,fromloc.city_name=denver;toloc.city_name=san francisco;fromloc.city_name=denver;depart_time.period_of_day=afternoon;arrive_time.time=5 pm,11
do you have a flight from charlotte to atlanta on june first,flight,fromloc.city_name=charlotte;toloc.city_name=atlanta;depart_date.month_name=june;depart_date.day_number=first,11
what are my choices of flights leaving early afternoon from minneapolis to indianapolis,flight,depart_time.period_of_day=early;depart_time.period_of_day=afternoon;fromloc.city_name=minneapolis;toloc.city_name=indianapolis,11
yes i live in washington and i want to make a trip to san francisco which airlines may i use for this trip,flight,fromloc.city_name=washington;toloc.city_name=san francisco,11
tell me about flights on american airlines from dallas to san francisco on june twenty ninth,flight,airline_name=american airlines;fromloc.city_name=dallas;toloc.city_name=san francisco;depart_date.month_name=june;depart_date.day_number=twenty ninth,11
what kinds of planes are used by midway airlines,aircraft,airline_name=midway airlines,1
is there a united airlines flight from miami to washington dc arriving around noon,flight,airline_name=united airlines;fromloc.city_name=miami;toloc.city_name=washington;toloc.state_code=dc;arrive_time.time_relative=around;arrive_time.time=noon,11
show me the evening flights from atlanta to boston,flight,depart_time.period_of_day=evening;fromloc.city_name=atlanta;toloc.city_name=boston,11
give me flights that arrive in baltimore from atlanta denver and pittsburgh,flight,toloc.city_name=baltimore;fromloc.city_name=atlanta;fromloc.city_name=denver;fromloc.city_name=pittsburgh,11
flights from boston to pittsburgh,flight,fromloc.city_name=boston;toloc.city_name=pittsburgh,11
please list the flights from new york to miami on a tuesday,flight,fromloc.city_name=new york;toloc.city_name=miami;depart_date.day_name=tuesday,11
show me the flights from san francisco to boston on august thirty first,flight,fromloc.city_name=san francisco;toloc.city_name=boston;depart_date.month_name=august;depart_date.day_number=thirty first,11
what is the least expensive flight from atlanta to boston,flight,cost_relative=least expensive;fromloc.city_name=atlanta;toloc.city_name=boston,11
show me the flights on twa from atlanta in the morning,flight,airline_code=twa;fromloc.city_name=atlanta;depart_time.period_of_day=morning,11
i need the cheapest direct flight from atlanta to denver leaving on may seventh,flight,cost_relative=cheapest;connect=direct;fromloc.city_name=atlanta;toloc.city_name=denver;depart_date.month_name=may;depart_date.day_number=seventh,11
does any airline offer dc10 service between denver and boston,airline,aircraft_code=dc10;fromloc.city_name=denver;toloc.city_name=boston,5
what airlines fly from st. petersburg to milwaukee and from milwaukee to tacoma,airline,fromloc.city_name=st. petersburg;toloc.city_name=milwaukee;fromloc.city_name=milwaukee;toloc.city_name=tacoma,5
what kind of aircraft do you have flying from boston to san francisco on august twenty seventh,aircraft,fromloc.city_name=boston;toloc.city_name=san francisco;depart_date.month_name=august;depart_date.day_number=twenty seventh,1
show me the flights from washington to boston,flight,fromloc.city_name=washington;toloc.city_name=boston,11
may i have a listing of flights from long beach to columbus ohio on tuesday,flight,fromloc.city_name=long beach;toloc.city_name=columbus;toloc.state_name=ohio;depart_date.day_name=tuesday,11
describe ground transportation in dallas,ground_service,city_name=dallas,17
show me ground transportation in washington dc,ground_service,city_name=washington;state_code=dc,17
does any airline have an afternoon flight from atlanta to boston,airline,depart_time.period_of_day=afternoon;fromloc.city_name=atlanta;toloc.city_name=boston,5
show me the flights from san francisco to boston,flight,fromloc.city_name=san francisco;toloc.city_name=boston,11
what 's the cheapest flight from atlanta to baltimore,flight,cost_relative=cheapest;fromloc.city_name=atlanta;toloc.city_name=baltimore,11
all flights from denver colorado to pittsburgh pennsylvania,flight,fromloc.city_name=denver;fromloc.state_name=colorado;toloc.city_name=pittsburgh;toloc.state_name=pennsylvania,11
what are the flights in the month of december from atlanta to denver which stop in boston,flight,depart_date.month_name=december;fromloc.city_name=atlanta;toloc.city_name=denver;stoploc.city_name=boston,11
what does the abbreviation co mean,abbreviation,airline_code=co,0
what 's the lowest round trip fare from dallas to atlanta,airfare,cost_relative=lowest;round_trip=round trip;fromloc.city_name=dallas;toloc.city_name=atlanta,3
can you show me economy class one way fares for flights from oakland to dallas on december sixteenth,airfare,economy=economy class;round_trip=one way;fromloc.city_name=oakland;toloc.city_name=dallas;depart_date.month_name=december;depart_date.day_number=sixteenth,3
ground transportation between airport and downtown in boston,ground_service,toloc.city_name=boston,17
all flights pittsburgh to baltimore on thursday arrival by 10 am,flight,fromloc.city_name=pittsburgh;toloc.city_name=baltimore;depart_date.day_name=thursday;arrive_time.time_relative=by;arrive_time.time=10 am,11
on april sixth i would like to book an early morning flight from tampa to charlotte,flight,depart_date.month_name=april;depart_date.day_number=sixth;depart_time.period_of_day=early;depart_time.period_of_day=morning;fromloc.city_name=tampa;toloc.city_name=charlotte,11
which airline is the cheapest to fly from dallas to baltimore on december twenty fourth,airline,cost_relative=cheapest;fromloc.city_name=dallas;toloc.city_name=baltimore;depart_date.month_name=december;depart_date.day_number=twenty fourth,5
denver to san francisco wednesday,flight,fromloc.city_name=denver;toloc.city_name=san francisco;depart_date.day_name=wednesday,11
show me the flights leaving charlotte to atlanta around 7 pm next tuesday,flight,fromloc.city_name=charlotte;toloc.city_name=atlanta;depart_time.time_relative=around;depart_time.time=7 pm;depart_date.date_relative=next;depart_date.day_name=tuesday,11
philadelphia to san francisco,flight,fromloc.city_name=philadelphia;toloc.city_name=san francisco,11
show me all the us air flights leaving pittsburgh between 12 and 4 in the afternoon,flight,airline_name=us air;fromloc.city_name=pittsburgh;depart_time.start_time=12;depart_time.end_time=4;depart_time.period_of_day=afternoon,11
what is the earliest flight from boston to washington,flight,flight_mod=earliest;fromloc.city_name=boston;toloc.city_name=washington,11
show all flights and fares from pittsburgh to san francisco,flight+airfare,fromloc.city_name=pittsburgh;toloc.city_name=san francisco,12
what flights do you have from baltimore to san francisco,flight,fromloc.city_name=baltimore;toloc.city_name=san francisco,11
show me the flights from all airports to love field,flight,toloc.airport_name=love field,11
flights on friday from newark to tampa,flight,depart_date.day_name=friday;fromloc.city_name=newark;toloc.city_name=tampa,11
fare code y what does that mean,abbreviation,fare_basis_code=y,0
list flights leaving denver and arriving in orlando on saturday departing after 12 pm,flight,fromloc.city_name=denver;toloc.city_name=orlando;arrive_date.day_name=saturday;depart_time.time_relative=after;depart_time.time=12 pm,11
fly from dallas to baltimore,flight,fromloc.city_name=dallas;toloc.city_name=baltimore,11
what are the flights from milwaukee to orlando on wednesday night,flight,fromloc.city_name=milwaukee;toloc.city_name=orlando;depart_date.day_name=wednesday;depart_time.period_of_day=night,11
list all flights from denver to philadelphia,flight,fromloc.city_name=denver;toloc.city_name=philadelphia,11
and flight from oakland to boston leaving after midnight,flight,fromloc.city_name=oakland;toloc.city_name=boston;depart_time.time_relative=after;depart_time.period_of_day=midnight,11
i would like a nonstop flight from jfk to las vegas on march second,flight,flight_stop=nonstop;fromloc.airport_code=jfk;toloc.city_name=las vegas;arrive_date.month_name=march;arrive_date.day_number=second,11
oh let 's see does eastern airline have a flight from atlanta to washington,flight,airline_name=eastern airline;fromloc.city_name=atlanta;toloc.city_name=washington,11
flights between milwaukee and orlando one way,flight,fromloc.city_name=milwaukee;toloc.city_name=orlando;round_trip=one way,11
does midwest express serve baltimore,flight,airline_name=midwest;city_name=baltimore,11
list all flights from baltimore to san francisco on friday,flight,fromloc.city_name=baltimore;toloc.city_name=san francisco;depart_date.day_name=friday,11
does us air have a flight from toronto to salt lake city monday may thirty first,flight,airline_name=us air;fromloc.city_name=toronto;toloc.city_name=salt lake city;depart_date.day_name=monday;depart_date.month_name=may;depart_date.day_number=thirty first,11
i 'd like to fly from tampa to montreal,flight,fromloc.city_name=tampa;toloc.city_name=montreal,11
show me all flights from san francisco to washington dc area,flight,fromloc.city_name=san francisco;toloc.city_name=washington;toloc.state_code=dc,11
show me flights with first class reservations from san francisco to pittsburgh for monday,flight,class_type=first class;fromloc.city_name=san francisco;toloc.city_name=pittsburgh;depart_date.day_name=monday,11
what ground transportation is available in denver,ground_service,city_name=denver,17
give me morning flights from charlotte to baltimore,flight,depart_time.period_of_day=morning;fromloc.city_name=charlotte;toloc.city_name=baltimore,11
what is the earliest flight from denver to san francisco on the morning of august twenty seventh,flight,flight_mod=earliest;fromloc.city_name=denver;toloc.city_name=san francisco;depart_time.period_of_day=morning;depart_date.month_name=august;depart_date.day_number=twenty seventh,11
which airlines fly from boston to washington dc via other cities,airline,fromloc.city_name=boston;toloc.city_name=washington;toloc.state_code=dc,5
show me the flights from baltimore to oakland,flight,fromloc.city_name=baltimore;toloc.city_name=oakland,11
show me the flights from pittsburgh to baltimore arriving in baltimore on june fourteenth,flight,fromloc.city_name=pittsburgh;toloc.city_name=baltimore;toloc.city_name=baltimore;arrive_date.month_name=june;arrive_date.day_number=fourteenth,11
please give me direct morning flights from pittsburgh to atlanta,flight,connect=direct;depart_time.period_of_day=morning;fromloc.city_name=pittsburgh;toloc.city_name=atlanta,11
rental cars in washington dc,ground_service,transport_type=rental cars;city_name=washington;state_code=dc,17
please show me flights from denver to san francisco on wednesday after 1300 hours,flight,fromloc.city_name=denver;toloc.city_name=san francisco;depart_date.day_name=wednesday;depart_time.time_relative=after;depart_time.time=1300 hours,11
show me all the united flights from boston to denver,flight,airline_name=united;fromloc.city_name=boston;toloc.city_name=denver,11
tell me the last flight from atlanta to philadelphia,flight,flight_mod=last;fromloc.city_name=atlanta;toloc.city_name=philadelphia,11
how many first class flights does delta have today,quantity,class_type=first class;airline_name=delta;depart_date.today_relative=today,20
please list the afternoon flights from charlotte to minneapolis,flight,depart_time.period_of_day=afternoon;fromloc.city_name=charlotte;toloc.city_name=minneapolis,11
show me flights denver to washington on thursday,flight,fromloc.city_name=denver;toloc.city_name=washington;depart_date.day_name=thursday,11
i would like to travel from boston to denver,flight,fromloc.city_name=boston;toloc.city_name=denver,11
how far is oakland airport from downtown,distance,fromloc.airport_name=oakland airport,10
please list the cheapest flights from dallas to baltimore arriving on may seventh,flight,cost_relative=cheapest;fromloc.city_name=dallas;toloc.city_name=baltimore;arrive_date.month_name=may;arrive_date.day_number=seventh,11
show me all flights from pittsburgh to dallas,flight,fromloc.city_name=pittsburgh;toloc.city_name=dallas,11
show me fares from baltimore to philadelphia,airfare,fromloc.city_name=baltimore;toloc.city_name=philadelphia,3
i would like a list of flights from pittsburgh to dallas,flight,fromloc.city_name=pittsburgh;toloc.city_name=dallas,11
which northwest and united flights go through denver before noon,flight,airline_name=northwest;airline_name=united;stoploc.city_name=denver;depart_time.time_relative=before;depart_time.time=noon,11
now show me the flights from pittsburgh to baltimore,flight,fromloc.city_name=pittsburgh;toloc.city_name=baltimore,11
show me flights from denver to atlanta on june sixteenth,flight,fromloc.city_name=denver;toloc.city_name=atlanta;depart_date.month_name=june;depart_date.day_number=sixteenth,11
what flights from new york to los angeles,flight,fromloc.city_name=new york;toloc.city_name=los angeles,11
what airlines fly between boston and san francisco,airline,fromloc.city_name=boston;toloc.city_name=san francisco,5
